@W: CG146 :"F:\PSTR17R5B\ipcore_dir\myfifo.v":39:7:39:12|Creating black box for empty module myfifo
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_16_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_17_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[9] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_18_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_19_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_20_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_21_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_22_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_23_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[8] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_24_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_25_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[3] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_26_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_27_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_28_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_29_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[1] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[5] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[6] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[7] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_30_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[0] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[2] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[4] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[9] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[10] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_31_[11] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[0] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[1] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[2] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[3] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[4] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[5] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[6] is always 1, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[7] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[8] is always 0, optimizing ...
@W: CL189 :"F:\PSTR17R5B\ad9914_ctrl.v":154:1:154:6|Register bit att_factor_reg_32_[9] is always 0, optimizing ...
